Hyperparameters: 
	Inputs: 2
	Hidden: 3
	output: 1
	Activation: ReLU
	Learning Rate: 0.2
	Batch Size: 100
	# of Batches: 100

Batch No. 1
[0, 0]	0.7196413470320117
[0, 1]	0.6478685487138899
[1, 0]	0.8337835902142491
[1, 1]	0.7730621529594215


Batch No. 2
[0, 0]	0.3970354598780365
[0, 1]	0.3970354598780365
[1, 0]	0.3970354598780365
[1, 1]	0.3970354598780365


Batch No. 3
[0, 0]	0.47094260077549577
[0, 1]	0.47094260077549577
[1, 0]	0.47094260077549577
[1, 1]	0.47094260077549577


Batch No. 4
[0, 0]	0.4084894418296769
[0, 1]	0.4084894418296769
[1, 0]	0.4084894418296769
[1, 1]	0.4084894418296769


Batch No. 5
[0, 0]	0.49384093069534696
[0, 1]	0.49384093069534696
[1, 0]	0.49384093069534696
[1, 1]	0.49384093069534696


Batch No. 6
[0, 0]	0.5015382827309159
[0, 1]	0.5015382827309159
[1, 0]	0.5015382827309159
[1, 1]	0.5015382827309159


Batch No. 7
[0, 0]	0.48711842182943066
[0, 1]	0.48711842182943066
[1, 0]	0.48711842182943066
[1, 1]	0.48711842182943066


Batch No. 8
[0, 0]	0.4165529136172355
[0, 1]	0.4165529136172355
[1, 0]	0.4165529136172355
[1, 1]	0.4165529136172355


Batch No. 9
[0, 0]	0.6008300490577164
[0, 1]	0.6008300490577164
[1, 0]	0.6008300490577164
[1, 1]	0.6008300490577164


Batch No. 10
[0, 0]	0.46936594651276436
[0, 1]	0.46936594651276436
[1, 0]	0.46936594651276436
[1, 1]	0.46936594651276436


Batch No. 11
[0, 0]	0.5447157990930208
[0, 1]	0.5447157990930208
[1, 0]	0.5447157990930208
[1, 1]	0.5447157990930208


Batch No. 12
[0, 0]	0.4038017619299113
[0, 1]	0.4038017619299113
[1, 0]	0.4038017619299113
[1, 1]	0.4038017619299113


Batch No. 13
[0, 0]	0.5303841783788272
[0, 1]	0.5303841783788272
[1, 0]	0.5303841783788272
[1, 1]	0.5303841783788272


Batch No. 14
[0, 0]	0.5050353622769264
[0, 1]	0.5050353622769264
[1, 0]	0.5050353622769264
[1, 1]	0.5050353622769264


Batch No. 15
[0, 0]	0.49874197067863585
[0, 1]	0.49874197067863585
[1, 0]	0.49874197067863585
[1, 1]	0.49874197067863585


Batch No. 16
[0, 0]	0.4628831377290716
[0, 1]	0.4628831377290716
[1, 0]	0.4628831377290716
[1, 1]	0.4628831377290716


Batch No. 17
[0, 0]	0.4225654580646393
[0, 1]	0.4225654580646393
[1, 0]	0.4225654580646393
[1, 1]	0.4225654580646393


Batch No. 18
[0, 0]	0.46765342800872467
[0, 1]	0.46765342800872467
[1, 0]	0.46765342800872467
[1, 1]	0.46765342800872467


Batch No. 19
[0, 0]	0.44584700214963396
[0, 1]	0.44584700214963396
[1, 0]	0.44584700214963396
[1, 1]	0.44584700214963396


Batch No. 20
[0, 0]	0.4754905152427345
[0, 1]	0.4754905152427345
[1, 0]	0.4754905152427345
[1, 1]	0.4754905152427345


Batch No. 21
[0, 0]	0.5679606996646293
